User_ID,Product_ID,Gender,Age_Group,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category,Purchase_Amount
1000001,P00069042,F,0-17,10,A,2,Single,3,83.70
1000001,P00248942,F,0-17,10,A,2,Single,1,152.00
1000001,P00087842,F,0-17,10,A,2,Single,12,14.22
1000001,P00085442,F,0-17,10,A,2,Single,12,10.57
1000002,P00285442,M,55+,16,C,4+,Single,8,79.69
1000003,P00193542,M,26-35,15,A,3,Single,1,152.27
1000004,P00184942,M,46-50,7,B,2,Married,1,192.15
1000004,P00346142,M,46-50,7,B,2,Married,1,158.54
1000004,P0097242,M,46-50,7,B,2,Married,1,156.86
1000005,P00274942,M,26-35,20,A,1,Married,8,78.71
1000005,P00251242,M,26-35,20,A,1,Married,5,52.54
1000005,P00014542,M,26-35,20,A,1,Married,8,39.57
1000005,P00031342,M,26-35,20,A,1,Married,8,60.73
1000005,P00145042,M,26-35,20,A,1,Married,1,156.65
1000006,P00231342,F,51-55,9,A,1,Single,5,53.78
1000006,P00190242,F,51-55,9,A,1,Single,4,20.79
1000006,P0096642,F,51-55,9,A,1,Single,2,130.55
1000006,P00058442,F,51-55,9,A,1,Single,5,88.51
1000007,P00036842,M,36-45,1,B,1,Married,1,117.88
1000008,P00249542,M,26-35,12,C,4+,Married,1,196.14
1000008,P00220442,M,26-35,12,C,4+,Married,5,85.84
1000008,P00156442,M,26-35,12,C,4+,Married,8,98.72
1000008,P00213742,M,26-35,12,C,4+,Married,8,97.43
1000008,P00214442,M,26-35,12,C,4+,Married,8,59.82
1000008,P00303442,M,26-35,12,C,4+,Married,1,119.27
1000009,P00135742,M,26-35,17,C,0,Single,6,166.62
1000009,P00039942,M,26-35,17,C,0,Single,8,58.87
1000009,P00161442,M,26-35,17,C,0,Single,5,69.73
1000009,P00078742,M,26-35,17,C,0,Single,5,53.91
1000010,P00085942,F,36-45,1,B,4+,Married,2,163.52
1000010,P00118742,F,36-45,1,B,4+,Married,5,88.86
1000010,P00297942,F,36-45,1,B,4+,Married,8,58.75
1000010,P00266842,F,36-45,1,B,4+,Married,5,88.54
1000010,P00058342,F,36-45,1,B,4+,Married,3,109.46
1000010,P00032442,F,36-45,1,B,4+,Married,5,51.52
1000010,P00105942,F,36-45,1,B,4+,Married,5,70.89
1000010,P00182642,F,36-45,1,B,4+,Married,2,129.09
1000010,P00186942,F,36-45,1,B,4+,Married,5,87.70
1000010,P00155442,F,36-45,1,B,4+,Married,1,152.12
1000010,P00221342,F,36-45,1,B,4+,Married,1,157.05
1000010,P00087242,F,36-45,1,B,4+,Married,14,79.47
1000010,P00111142,F,36-45,1,B,4+,Married,1,189.63
1000010,P00259342,F,36-45,1,B,4+,Married,5,87.18
1000010,P0094542,F,36-45,1,B,4+,Married,2,164.06
1000010,P00148642,F,36-45,1,B,4+,Married,6,126.42
1000010,P00312142,F,36-45,1,B,4+,Married,8,100.07
1000010,P00113242,F,36-45,1,B,4+,Married,1,115.62
1000011,P00192642,F,26-35,1,C,1,Single,8,61.71
1000011,P00110842,F,26-35,1,C,1,Single,1,193.27
1000011,P00189642,F,26-35,1,C,1,Single,8,80.27
1000012,P00304242,M,26-35,12,C,2,Single,1,152.46
1000012,P00365242,M,26-35,12,C,2,Single,5,68.65
1000013,P00129542,M,46-50,1,C,3,Married,8,58.39
1000013,P00140742,M,46-50,1,C,3,Married,1,159.12
1000013,P00182342,M,46-50,1,C,3,Married,1,121.07
1000014,P00276642,M,36-45,0,C,0,Single,8,58.48
1000015,P00334242,M,26-35,7,A,1,Single,1,196.53
1000015,P00247542,M,26-35,7,A,1,Single,8,59.58
1000015,P00338442,M,26-35,7,A,1,Single,1,114.15
1000015,P00275142,M,26-35,7,A,1,Single,5,53.80
1000015,P00333042,M,26-35,7,A,1,Single,5,35.94
1000015,P00166242,M,26-35,7,A,1,Single,8,42.09
1000015,P00161942,M,26-35,7,A,1,Single,5,54.07
1000015,P00348242,M,26-35,7,A,1,Single,8,78.03
1000015,P00042142,M,26-35,7,A,1,Single,1,114.58
1000016,P00244242,F,36-45,0,C,0,Married,1,117.55
1000016,P00217742,F,36-45,0,C,0,Married,5,87.02
1000017,P00019342,M,51-55,1,C,0,Single,1,158.72
1000017,P00100642,M,51-55,1,C,0,Single,5,86.09
1000017,P00073842,M,51-55,1,C,0,Single,1,151.72
1000018,P00366542,F,18-25,3,B,3,Single,5,17.80
1000018,P00190742,F,18-25,3,B,3,Single,3,107.54
1000018,P00151842,F,18-25,3,B,3,Single,4,28.02
1000018,P00112642,F,18-25,3,B,3,Single,1,194.73
1000018,P00118442,F,18-25,3,B,3,Single,1,196.72
1000018,P00034442,F,18-25,3,B,3,Single,1,193.13
1000018,P00222242,F,18-25,3,B,3,Single,1,151.82
1000018,P00118342,F,18-25,3,B,3,Single,2,159.85
1000018,P00324742,F,18-25,3,B,3,Single,2,164.54
1000018,P00190042,F,18-25,3,B,3,Single,3,135.51
1000018,P0094142,F,18-25,3,B,3,Single,4,6.97
1000018,P00138542,F,18-25,3,B,3,Single,5,70.30
1000018,P00158542,F,18-25,3,B,3,Single,5,54.30
1000018,P00157542,F,18-25,3,B,3,Single,8,80.11
1000018,P00044142,F,18-25,3,B,3,Single,8,59.12
1000019,P00112542,M,0-17,10,A,3,Single,1,77.46
1000019,P00339542,M,0-17,10,A,3,Single,1,195.25
1000019,P00127842,M,0-17,10,A,3,Single,1,119.59
1000019,P00125942,M,0-17,10,A,3,Single,1,191.72
1000019,P00251342,M,0-17,10,A,3,Single,5,87.73
1000019,P00249642,M,0-17,10,A,3,Single,3,110.23
1000019,P00124842,M,0-17,10,A,3,Single,11,46.54
1000019,P00250642,M,0-17,10,A,3,Single,11,46.64
1000019,P00058142,M,0-17,10,A,3,Single,3,82.90
1000019,P00117442,M,0-17,10,A,3,Single,5,70.11
1000019,P00251642,M,0-17,10,A,3,Single,1,42.11
1000019,P00244842,M,0-17,10,A,3,Single,11,15.39
1000021,P00220242,M,18-25,16,B,0,Single,3,30.55
1000022,P00351142,M,18-25,15,A,4+,Single,1,120.99
1000022,P00213242,M,18-25,15,A,4+,Single,5,87.97
1000022,P00195942,M,18-25,15,A,4+,Single,3,106.81
1000022,P00115642,M,18-25,15,A,4+,Single,8,78.01
1000022,P0098242,M,18-25,15,A,4+,Single,1,155.17
1000022,P00262242,M,18-25,15,A,4+,Single,1,120.98
1000022,P00258742,M,18-25,15,A,4+,Single,5,69.76
1000022,P00218242,M,18-25,15,A,4+,Single,5,53.84
1000022,P00021742,M,18-25,15,A,4+,Single,5,69.73
1000022,P00313042,M,18-25,15,A,4+,Single,5,51.68
1000022,P00133742,M,18-25,15,A,4+,Single,5,34.49
1000022,P00077042,M,18-25,15,A,4+,Single,5,71.77
1000022,P00280542,M,18-25,15,A,4+,Single,11,45.70
1000022,P00225842,M,18-25,15,A,4+,Single,2,95.64
1000023,P00278942,M,36-45,0,B,3,Married,1,157.66
1000023,P00004742,M,36-45,0,B,3,Married,6,84.81
1000023,P00198042,M,36-45,0,B,3,Married,11,61.08
1000023,P00177442,M,36-45,0,B,3,Married,1,153.54
1000023,P00000642,M,36-45,0,B,3,Married,1,120.15
1000023,P00288942,M,36-45,0,B,3,Married,1,153.71
1000023,P00270942,M,36-45,0,B,3,Married,1,192.39
1000023,P00345842,M,36-45,0,B,3,Married,2,161.37
1000023,P00032042,M,36-45,0,B,3,Married,1,118.87
1000023,P00313042,M,36-45,0,B,3,Married,5,51.83
1000023,P00112342,M,36-45,0,B,3,Married,13,5.84
1000023,P00031842,M,36-45,0,B,3,Married,1,76.01
1000024,P00346642,F,26-35,7,A,3,Married,8,22.30
1000024,P00205642,F,26-35,7,A,3,Married,5,69.40
1000024,P00248942,F,26-35,7,A,3,Married,1,157.74
1000025,P00206442,M,18-25,4,C,4+,Single,1,153.61
1000025,P00046742,M,18-25,4,C,4+,Single,1,157.70
1000025,P00120042,M,18-25,4,C,4+,Single,1,189.74
1000026,P00043242,M,26-35,7,B,2,Married,5,18.48
1000026,P00057242,M,26-35,7,B,2,Married,5,36.24
1000026,P00022842,M,26-35,7,B,2,Married,5,52.75
1000026,P00252042,M,26-35,7,B,2,Married,5,53.56
1000026,P00042242,M,26-35,7,B,2,Married,5,54.11
1000026,P00059542,M,26-35,7,B,2,Married,2,97.34
1000026,P00346642,M,26-35,7,B,2,Married,8,78.14
1000026,P00021242,M,26-35,7,B,2,Married,8,60.98
1000026,P00023042,M,26-35,7,B,2,Married,5,51.95
1000026,P00144242,M,26-35,7,B,2,Married,5,52.20
1000026,P00101342,M,26-35,7,B,2,Married,6,160.93
1000026,P00289342,M,26-35,7,B,2,Married,5,37.02
1000027,P00281742,M,26-35,11,C,1,Married,5,86.96
1000027,P00266642,M,26-35,11,C,1,Married,1,77.30
1000027,P00323742,M,26-35,11,C,1,Married,8,98.36
1000027,P00116342,M,26-35,11,C,1,Married,2,165.00
1000027,P00117142,M,26-35,11,C,1,Married,2,159.03
1000028,P00084442,F,26-35,1,C,2,Married,13,7.58
1000028,P00331542,F,26-35,1,C,2,Married,5,69.04
1000028,P00118742,F,26-35,1,C,2,Married,5,86.90
1000028,P00178942,F,26-35,1,C,2,Married,5,86.24
1000028,P00026042,F,26-35,1,C,2,Married,8,39.04
1000029,P00233542,M,36-45,7,C,1,Single,1,190.68
1000029,P00127242,M,36-45,7,C,1,Single,1,79.63
1000029,P00349942,M,36-45,7,C,1,Single,1,155.11
1000029,P00303342,M,36-45,7,C,1,Single,1,118.59
1000030,P00051442,F,36-45,7,C,3,Single,8,97.35
1000030,P00275642,F,36-45,7,C,3,Single,8,41.66
1000030,P00278642,F,36-45,7,C,3,Single,5,69.27
1000031,P00117442,M,55+,7,C,2,Single,5,85.96
1000031,P00322042,M,55+,7,C,2,Single,5,52.48
1000031,P00216342,M,55+,7,C,2,Single,3,105.92
1000031,P00329342,M,55+,7,C,2,Single,5,34.82
1000032,P00332342,F,26-35,0,C,3,Married,5,71.34
1000033,P00285442,M,46-50,3,A,1,Married,8,78.54
1000033,P00111742,M,46-50,3,A,1,Married,15,173.91
1000033,P00293742,M,46-50,3,A,1,Married,8,60.74
1000033,P00032842,M,46-50,3,A,1,Married,8,61.19
1000033,P00216142,M,46-50,3,A,1,Married,1,153.33
1000033,P00001642,M,46-50,3,A,1,Married,8,61.29
1000033,P00351842,M,46-50,3,A,1,Married,5,52.65
1000033,P00145442,M,46-50,3,A,1,Married,8,78.88
1000033,P00344242,M,46-50,3,A,1,Married,8,40.35
1000033,P00327242,M,46-50,3,A,1,Married,5,52.80
1000033,P00241142,M,46-50,3,A,1,Married,8,79.09
1000033,P00219242,M,46-50,3,A,1,Married,4,8.11
1000033,P00057342,M,46-50,3,A,1,Married,4,28.46
1000033,P00165742,M,46-50,3,A,1,Married,8,79.94
1000033,P00154642,M,46-50,3,A,1,Married,8,38.97
1000034,P00192942,F,18-25,0,A,0,Single,5,69.96
1000034,P00247042,F,18-25,0,A,0,Single,5,85.93
1000034,P00150542,F,18-25,0,A,0,Single,5,69.17
1000034,P00347142,F,18-25,0,A,0,Single,5,53.29
1000034,P00326742,F,18-25,0,A,0,Single,11,59.42
1000034,P00085942,F,18-25,0,A,0,Single,2,158.95
1000034,P00330442,F,18-25,0,A,0,Single,5,71.65
1000034,P00327842,F,18-25,0,A,0,Single,8,98.46
1000034,P00218342,F,18-25,0,A,0,Single,5,87.01
1000034,P00259042,F,18-25,0,A,0,Single,5,87.57
1000035,P00102542,M,46-50,1,C,4+,Married,8,61.09
1000035,P00285442,M,46-50,1,C,4+,Married,8,61.39
1000035,P00121142,M,46-50,1,C,4+,Married,8,58.97
1000035,P00228242,M,46-50,1,C,4+,Married,8,39.90
1000035,P00129542,M,46-50,1,C,4+,Married,8,61.53
1000035,P00309542,M,46-50,1,C,4+,Married,5,53.19
1000035,P00106742,M,46-50,1,C,4+,Married,3,107.67
1000036,P00102642,M,26-35,3,B,0,Single,4,28.32
1000036,P00127442,M,26-35,3,B,0,Single,1,80.66
1000036,P00345642,M,26-35,3,B,0,Single,1,158.12
1000036,P00357842,M,26-35,3,B,0,Single,5,69.67
1000036,P00115342,M,26-35,3,B,0,Single,5,69.22
1000036,P00174442,M,26-35,3,B,0,Single,5,86.21
1000036,P00282642,M,26-35,3,B,0,Single,5,70.30
1000036,P00150542,M,26-35,3,B,0,Single,5,71.72
1000036,P00037142,M,26-35,3,B,0,Single,1,157.69
1000036,P00192042,M,26-35,3,B,0,Single,5,68.71
1000036,P00197542,M,26-35,3,B,0,Single,5,71.71
1000036,P00048742,M,26-35,3,B,0,Single,5,71.39
1000036,P00110142,M,26-35,3,B,0,Single,7,162.80
1000036,P00120842,M,26-35,3,B,0,Single,8,98.94
1000036,P00267742,M,26-35,3,B,0,Single,5,36.64
1000036,P00086442,M,26-35,3,B,0,Single,8,78.69
1000036,P00331842,M,26-35,3,B,0,Single,16,168.66
1000036,P00288642,M,26-35,3,B,0,Single,16,204.42
1000036,P00318742,M,26-35,3,B,0,Single,1,115.18
1000036,P00028442,M,26-35,3,B,0,Single,1,152.85
1000036,P00208342,M,26-35,3,B,0,Single,1,155.24
1000036,P00193542,M,26-35,3,B,0,Single,1,192.78
1000036,P00277442,M,26-35,3,B,0,Single,1,154.45
1000037,P00085242,F,26-35,9,C,1,Single,8,80.34
1000039,P00279442,M,18-25,4,B,2,Single,16,124.64
1000039,P00351142,M,18-25,4,B,2,Single,1,153.19
1000041,P00235242,F,18-25,4,C,3,Single,8,59.15
1000041,P00251542,F,18-25,4,C,3,Single,11,60.25
1000042,P00046742,M,26-35,8,C,0,Married,1,194.33
1000042,P00003242,M,26-35,8,C,0,Married,8,60.27
1000042,P00221542,M,26-35,8,C,0,Married,5,70.40
1000042,P00142142,M,26-35,8,C,0,Married,1,119.65
1000042,P00044442,M,26-35,8,C,0,Married,1,154.69
1000042,P00147742,M,26-35,8,C,0,Married,1,119.25
1000042,P00030942,M,26-35,8,C,0,Married,4,28.26
1000042,P00288042,M,26-35,8,C,0,Married,8,40.13
1000042,P00313142,M,26-35,8,C,0,Married,8,59.14
1000042,P00195442,M,26-35,8,C,0,Married,5,71.76
1000043,P00255842,M,26-35,12,A,0,Single,16,209.61
1000044,P00112142,M,46-50,17,B,3,Married,1,190.72
1000044,P00120342,M,46-50,17,B,3,Married,5,71.79
1000044,P00110542,M,46-50,17,B,3,Married,8,79.95
1000044,P00279942,M,46-50,17,B,3,Married,8,41.24
1000044,P00303742,M,46-50,17,B,3,Married,8,77.72
1000044,P00140742,M,46-50,17,B,3,Married,1,117.99
1000044,P00190042,M,46-50,17,B,3,Married,3,132.51
1000044,P00316742,M,46-50,17,B,3,Married,4,35.24
1000044,P00233542,M,46-50,17,B,3,Married,1,158.53
1000044,P00115242,M,46-50,17,B,3,Married,5,17.28
1000044,P00338442,M,46-50,17,B,3,Married,1,116.93
1000044,P00302842,M,46-50,17,B,3,Married,8,78.52
1000044,P00124842,M,46-50,17,B,3,Married,11,15.82
1000045,P00066442,F,46-50,16,A,1,Married,5,69.50
1000045,P00273442,F,46-50,16,A,1,Married,12,14.14
1000045,P00210142,F,46-50,16,A,1,Married,14,43.25
1000045,P00212542,F,46-50,16,A,1,Married,8,40.28
1000045,P00321742,F,46-50,16,A,1,Married,5,34.32
1000045,P00020042,F,46-50,16,A,1,Married,5,37.15
1000045,P00051942,F,46-50,16,A,1,Married,5,35.40
1000045,P00251342,F,46-50,16,A,1,Married,5,53.52
1000045,P00303542,F,46-50,16,A,1,Married,5,18.28
1000045,P00228142,F,46-50,16,A,1,Married,5,71.59
1000046,P00123142,M,18-25,19,C,4+,Single,11,76.14
1000046,P00079542,M,18-25,19,C,4+,Single,5,17.84
1000046,P00103142,M,18-25,19,C,4+,Single,1,39.78
1000046,P00305542,M,18-25,19,C,4+,Single,11,74.78
1000047,P00031042,M,18-25,4,C,4+,Married,8,80.43
1000047,P00260042,M,18-25,4,C,4+,Married,5,69.12
1000048,P00055642,M,26-35,4,B,3,Married,4,14.47
1000048,P00312742,M,26-35,4,B,3,Married,15,43.38
1000048,P00010742,M,26-35,4,B,3,Married,1,193.52
1000048,P00147742,M,26-35,4,B,3,Married,1,114.20
1000048,P00303742,M,26-35,4,B,3,Married,8,58.97
1000048,P00223242,M,26-35,4,B,3,Married,5,70.48
1000048,P00114942,M,26-35,4,B,3,Married,1,157.83
1000048,P00277442,M,26-35,4,B,3,Married,1,113.96
1000048,P00183242,M,26-35,4,B,3,Married,5,51.80
1000048,P00030842,M,26-35,4,B,3,Married,1,155.49
1000048,P00220142,M,26-35,4,B,3,Married,1,119.35
1000048,P00130442,M,26-35,4,B,3,Married,3,80.91
1000048,P00323042,M,26-35,4,B,3,Married,5,70.01
1000048,P00344742,M,26-35,4,B,3,Married,5,17.47
1000048,P00182442,M,26-35,4,B,3,Married,5,52.52
1000048,P00015342,M,26-35,4,B,3,Married,2,64.07
1000048,P00113242,M,26-35,4,B,3,Married,1,154.66
1000048,P00288042,M,26-35,4,B,3,Married,8,77.81
1000048,P00103042,M,26-35,4,B,3,Married,1,158.49
1000048,P00187842,M,26-35,4,B,3,Married,1,114.30
1000048,P00162442,M,26-35,4,B,3,Married,1,114.04
1000048,P00078542,M,26-35,4,B,3,Married,1,118.53
1000048,P0094142,M,26-35,4,B,3,Married,4,14.46
1000048,P00324442,M,26-35,4,B,3,Married,11,31.01
1000048,P00041642,M,26-35,4,B,3,Married,5,36.94
1000048,P00050542,M,26-35,4,B,3,Married,5,36.96
1000048,P00006442,M,26-35,4,B,3,Married,5,35.80
1000049,P00051442,M,18-25,12,C,4+,Married,8,98.79
1000049,P00350942,M,18-25,12,C,4+,Married,3,107.83
1000049,P00000142,M,18-25,12,C,4+,Married,3,133.53
1000049,P00127242,M,18-25,12,C,4+,Married,1,157.15
1000049,P00034042,M,18-25,12,C,4+,Married,1,114.63
1000049,P00143142,M,18-25,12,C,4+,Married,8,77.63
1000050,P00317942,F,26-35,2,A,1,Married,8,58.78
1000050,P00335542,F,26-35,2,A,1,Married,8,58.45
1000051,P00361842,F,0-17,10,C,2,Single,15,172.71
1000052,P00147942,M,18-25,4,C,0,Single,1,152.44
1000052,P00000642,M,18-25,4,C,0,Single,1,190.60
1000052,P00037142,M,18-25,4,C,0,Single,1,157.72
1000052,P00028042,M,18-25,4,C,0,Single,1,81.59
1000053,P00117542,M,26-35,0,B,1,Single,18,37.94
1000053,P00120342,M,26-35,0,B,1,Single,5,86.37
1000053,P00130742,M,26-35,0,B,1,Single,1,192.51
1000053,P00024142,M,26-35,0,B,1,Single,8,100.21
1000053,P00127242,M,26-35,0,B,1,Single,1,157.34
1000053,P00209742,M,26-35,0,B,1,Single,1,196.62
1000053,P00160042,M,26-35,0,B,1,Single,1,194.16
1000053,P00042342,M,26-35,0,B,1,Single,8,59.96
1000053,P00016542,M,26-35,0,B,1,Single,1,119.37
1000053,P00016742,M,26-35,0,B,1,Single,1,158.59
1000053,P00227642,M,26-35,0,B,1,Single,1,117.23
1000053,P00146142,M,26-35,0,B,1,Single,1,117.93
1000053,P00070542,M,26-35,0,B,1,Single,3,136.89
1000053,P00129842,M,26-35,0,B,1,Single,6,163.06
1000053,P00243942,M,26-35,0,B,1,Single,1,191.71
1000053,P00246742,M,26-35,0,B,1,Single,11,16.29
1000053,P00310142,M,26-35,0,B,1,Single,5,69.31
1000053,P00244142,M,26-35,0,B,1,Single,1,120.04
1000053,P00085442,M,26-35,0,B,1,Single,12,17.52
1000053,P00190142,M,26-35,0,B,1,Single,3,107.66
1000053,P00109242,M,26-35,0,B,1,Single,6,205.29
1000053,P00089342,M,26-35,0,B,1,Single,8,98.56
1000053,P00288542,M,26-35,0,B,1,Single,8,80.00
1000053,P00212242,M,26-35,0,B,1,Single,8,100.38
1000053,P00319342,M,26-35,0,B,1,Single,5,86.85
1000053,P00302942,M,26-35,0,B,1,Single,8,77.96
1000053,P00145942,M,26-35,0,B,1,Single,6,204.74
1000053,P00026342,M,26-35,0,B,1,Single,8,78.20
